id,category,subcategory,question,answer,difficulty,tags
1,Accounts,Checking Accounts,What is a checking account?,"A checking account is a deposit account for everyday payments and withdrawals, typically offering a debit card and check-writing with low or no interest.",basic,
2,Accounts,Checking Accounts,How do I open a checking account?,"Provide government ID, personal details, and initial deposit; banks may run ChexSystems or similar screening before approval.",basic,
3,Accounts,Checking Accounts,What is a minimum balance requirement?,"It’s the lowest daily or monthly balance you must maintain to avoid fees or keep the account open, per the bank’s policy.",basic,
4,Accounts,Savings Accounts,What is a savings account?,A savings account is a deposit account that pays interest on balances and is designed for storing money over time.,basic,
5,Accounts,Savings Accounts,How is savings interest calculated?,"Banks quote an APY; interest accrues based on the bank’s compounding schedule (daily, monthly, etc.).",basic,
6,Accounts,Savings Accounts,What is a high-yield savings account?,"A high-yield savings account offers a higher APY than standard accounts, often from online banks with lower overhead.",basic,
7,Accounts,Certificates of Deposit (CDs),What is a CD?,A certificate of deposit locks funds for a fixed term at a fixed rate; early withdrawals usually incur penalties.,basic,
8,Accounts,Certificates of Deposit (CDs),What is a CD ladder?,A CD ladder spreads funds across multiple terms to balance liquidity and return.,basic,
9,Accounts,Certificates of Deposit (CDs),Can I withdraw from a CD early?,"Yes, but you’ll likely pay an early withdrawal penalty defined in the CD terms.",basic,
10,Accounts,Money Market Accounts,What is a money market account?,A money market account is an interest-bearing deposit account that may offer check-writing and higher minimums.,basic,
11,Accounts,Money Market Accounts,Are money market accounts FDIC insured?,Bank money market deposit accounts are FDIC insured up to limits; money market mutual funds are not FDIC insured.,basic,
12,Accounts,Money Market Accounts,Why do money market accounts have higher minimums?,"They often target customers seeking higher rates, and banks set higher minimums to manage costs and risk.",basic,
13,Payments & Transfers,ACH & Wires,What is an ACH transfer?,"ACH is a batch electronic transfer used for payroll, bill pay, and bank-to-bank moves; it’s slower but lower cost than wires.",basic,
14,Payments & Transfers,ACH & Wires,What is a wire transfer?,A wire is a real-time or same-day bank-to-bank transfer with higher fees and strong finality once sent.,basic,
15,Payments & Transfers,ACH & Wires,What details are needed for an incoming wire?,"Typically the bank name, routing/SWIFT code, your account number, and your full name and address.",basic,
16,Payments & Transfers,Zelle/Real-time,What is Zelle?,"Zelle is a U.S. person-to-person transfer network that moves money between enrolled bank accounts, usually within minutes.",basic,
17,Payments & Transfers,Zelle/Real-time,Are Zelle payments reversible?,"Generally no; once authorized and sent to the right recipient, they’re final unless the bank offers a courtesy remedy for fraud.",basic,
18,Payments & Transfers,Zelle/Real-time,What are RTP rails?,Real-Time Payments (RTP) are instant clearing and settlement networks that move funds 24/7 with immediate availability.,basic,
19,Payments & Transfers,Checks,What is mobile check deposit?,Using a bank app to photograph a check’s front and back for deposit; funds may be held until cleared.,basic,
20,Payments & Transfers,Checks,What is a check hold?,A temporary delay before funds are available; banks follow availability schedules and risk rules.,basic,
21,Payments & Transfers,Checks,What is a cashier’s check?,"A bank-issued check drawn on the bank’s own funds, often used for large, guaranteed payments.",basic,
22,Cards,Debit Cards,What is a debit card?,A debit card pulls funds directly from your checking account for purchases or ATM withdrawals.,basic,
23,Cards,Debit Cards,What is a PIN?,A PIN is a numeric code that verifies you at ATMs and sometimes at point-of-sale for security.,basic,
24,Cards,Debit Cards,What happens if my debit card is lost?,Report it immediately; the bank blocks the card and issues a replacement; liability may be limited if reported quickly.,basic,
25,Cards,Credit Cards,What is a credit card grace period?,It’s the time between the statement date and due date when purchases may avoid interest if the prior balance is paid in full.,basic,
26,Cards,Credit Cards,What is a cash advance?,"A cash advance lets you withdraw cash from your credit line, usually with immediate interest and extra fees.",basic,
27,Cards,Credit Cards,What is a balance transfer?,"Moving debt from one card to another, often with a promotional APR and a transfer fee.",basic,
28,Cards,Prepaid & Secured,What is a secured credit card?,A secured card requires a refundable deposit as collateral and can help build credit with responsible use.,basic,
29,Cards,Prepaid & Secured,What is a prepaid card?,A prepaid card is loaded with funds in advance and isn’t linked to a checking account or credit line.,basic,
30,Cards,Prepaid & Secured,Do prepaid cards build credit?,Generally no; prepaid activity isn’t reported to credit bureaus like credit cards are.,basic,
31,Loans,Personal Loans,What is an unsecured personal loan?,"It’s a fixed-term loan without collateral; approval depends on credit, income, and debt-to-income ratio.",basic,
32,Loans,Personal Loans,What is an APR?,"APR is the annualized cost of credit, including interest and mandatory fees.",basic,
33,Loans,Personal Loans,What is prequalification?,"A soft-credit estimate of loan terms you might receive, without a hard inquiry.",basic,
34,Loans,Auto Loans,What is loan-to-value (LTV)?,LTV compares loan amount to the asset’s value; higher LTV can mean higher rates or required down payment.,basic,
35,Loans,Auto Loans,What is a co-signer?,Someone who shares responsibility for the loan; their credit and income support approval.,basic,
36,Loans,Auto Loans,Can I refinance an auto loan?,"Yes; refinancing may lower payments or rates, subject to credit and vehicle value.",basic,
37,Loans,Mortgages,What is a fixed-rate mortgage?,A home loan with an interest rate that does not change over the loan term.,basic,
38,Loans,Mortgages,What is an adjustable-rate mortgage (ARM)?,A mortgage with an initial fixed period followed by rate adjustments based on an index and margin.,basic,
39,Loans,Mortgages,What are points?,Fees paid at closing to reduce the interest rate; one point usually equals 1% of the loan amount.,basic,
40,Loans,Student Loans,What is deferment?,"A temporary pause on required payments, often with subsidized interest benefits on eligible federal loans.",basic,
41,Loans,Student Loans,What is forbearance?,A payment pause or reduction where interest generally continues to accrue.,basic,
42,Loans,Student Loans,Do private student loans have income-driven repayment?,"Typically no; those plans are features of federal loans, not private ones.",basic,
43,Fees & Policies,Fees,What is a monthly maintenance fee?,A recurring fee for account services that may be waived with direct deposits or minimum balances.,basic,
44,Fees & Policies,Fees,What is an overdraft fee?,A fee charged when transactions exceed your available balance and the bank covers the shortfall.,basic,
45,Fees & Policies,Fees,What is a nonsufficient funds (NSF) fee?,A fee charged when the bank declines a transaction due to insufficient funds.,basic,
46,Fees & Policies,Availability & Holds,What is funds availability?,Rules governing when deposited funds become available for withdrawal.,basic,
47,Fees & Policies,Availability & Holds,Why do banks place holds on deposits?,To manage fraud and collection risk until items clear through payment networks.,basic,
48,Fees & Policies,Availability & Holds,What is a provisional credit?,A temporary credit issued while the bank investigates a dispute or error.,basic,
49,Fees & Policies,Account Policies,What is dormant account status?,An account with no activity for a defined period; banks may restrict access or charge inactivity fees per policy.,basic,
50,Fees & Policies,Account Policies,What is escheatment?,"Transfer of unclaimed funds to the state after prolonged inactivity, per state unclaimed property laws.",basic,
51,Fees & Policies,Account Policies,What is account closing policy?,"Rules for closing accounts, including settlement of fees and pending transactions.",basic,
52,Security & Compliance,KYC/AML,What is KYC?,Know Your Customer processes verify identity to prevent fraud and comply with regulations.,basic,
53,Security & Compliance,KYC/AML,What is AML?,Anti-Money Laundering controls detect and report suspicious activity per law.,basic,
54,Security & Compliance,KYC/AML,What is a SAR?,A Suspicious Activity Report filed by banks to regulators when unusual activity is detected.,basic,
55,Security & Compliance,Authentication,What is two-factor authentication (2FA)?,"A login method requiring two proofs, such as a password and a one-time code.",basic,
56,Security & Compliance,Authentication,What is biometric authentication?,"Using fingerprints, face, or voice to verify identity in banking apps or devices.",basic,
57,Security & Compliance,Authentication,What is device binding?,Linking a specific device to an account to reduce fraud risk for future logins or payments.,basic,
58,Security & Compliance,Fraud & Disputes,How do I report fraud on my account?,"Contact the bank immediately; they’ll block access, investigate, and issue replacements if needed.",basic,
59,Security & Compliance,Fraud & Disputes,What is chargeback?,A card network process to reverse disputed transactions under defined rules and timelines.,basic,
60,Security & Compliance,Fraud & Disputes,What is account takeover?,When a fraudster gains control of an account to transact or change settings without permission.,basic,
61,Digital Banking,Online & Mobile,What is a digital wallet?,A mobile or browser-based payment tool that stores card credentials for secure transactions.,basic,
62,Digital Banking,Online & Mobile,What is card tokenization?,Replacing a card number with a unique token to protect the real PAN during transactions.,basic,
63,Digital Banking,Online & Mobile,What is account aggregation?,A service that consolidates balances and transactions from multiple banks into one view.,basic,
64,Digital Banking,Alerts & Controls,What are account alerts?,"Notifications for deposits, withdrawals, low balances, or unusual activity.",basic,
65,Digital Banking,Alerts & Controls,What is a travel notice?,An advisory to your bank about upcoming travel to reduce false fraud declines.,basic,
66,Digital Banking,Alerts & Controls,What is card lock?,A control to temporarily disable a card to prevent new transactions.,basic,
67,Digital Banking,Statements & Records,What is an e-statement?,A digital version of your monthly account statement accessible in online banking.,basic,
68,Digital Banking,Statements & Records,How long are statements kept?,Banks typically retain statements for several years; availability varies by institution.,basic,
69,Digital Banking,Statements & Records,What is transaction categorization?,Automated labeling of spending types to help with budgeting and insights.,basic,
70,International,FX & SWIFT,What is a SWIFT code?,An international bank identifier used to route cross-border wires.,basic,
71,International,FX & SWIFT,What is an IBAN?,An international bank account number format used in many countries to standardize transfers.,basic,
72,International,FX & SWIFT,What are FX margins?,The spread between the market exchange rate and the bank’s offered rate for currency conversion.,basic,
73,International,Travel & Overseas Use,Can I use my card abroad?,"Yes, most cards work globally on major networks; notify your bank and expect possible FX fees.",basic,
74,International,Travel & Overseas Use,What is a foreign transaction fee?,A fee charged for purchases processed outside your home country or in foreign currency.,basic,
75,International,Travel & Overseas Use,How do I receive money from overseas?,"Provide your bank’s SWIFT/IBAN (if applicable), your account details, and payer information.",basic,
76,International,Remittances,What is a remittance transfer?,A cross-border consumer transfer; providers must disclose fees and exchange rates in many jurisdictions.,basic,
77,International,Remittances,Are remittances instant?,Timing varies by corridor and method; instant options may cost more.,basic,
78,International,Remittances,What info do I need to send a remittance?,"Recipient name, bank details, country, and reason for transfer, plus ID where required.",basic,
79,Business Banking,Business Accounts,What documents are needed for a business account?,"Typically formation documents, EIN, beneficial owner details, and personal IDs.",basic,
80,Business Banking,Business Accounts,What is a merchant account?,"An account that enables businesses to accept card payments, settling funds to a deposit account.",basic,
81,Business Banking,Business Accounts,What is a positive pay service?,A fraud-prevention tool that matches issued checks against presented items to block unauthorized checks.,basic,
82,Business Banking,Treasury & Cash Mgmt,What is a lockbox?,A service where the bank collects and processes customer checks sent to a dedicated address.,basic,
83,Business Banking,Treasury & Cash Mgmt,What is cash concentration?,Sweeping funds from multiple accounts to a central account for liquidity management.,basic,
84,Business Banking,Treasury & Cash Mgmt,What is controlled disbursement?,A service providing early-day presentment totals so firms can fund just enough to cover checks that day.,basic,
85,Business Banking,Commercial Lending,What is a revolving line of credit?,A reusable credit facility up to a limit; interest accrues only on drawn amounts.,basic,
86,Business Banking,Commercial Lending,What is a term loan?,A loan with a fixed schedule of repayments over a set period.,basic,
87,Business Banking,Commercial Lending,What is covenant compliance?,Meeting financial or operational conditions set in a loan agreement; breaches may trigger remedies.,basic,
88,Credit & Reports,Credit Scores,What is a FICO score?,A credit score model (300–850) used by lenders to assess credit risk.,basic,
89,Credit & Reports,Credit Scores,What affects my credit score most?,"Payment history, credit utilization, length of history, mix, and recent inquiries.",basic,
90,Credit & Reports,Credit Scores,How can I improve my score?,"Pay on time, reduce balances, avoid unnecessary hard inquiries, and keep old accounts open when reasonable.",basic,
91,Credit & Reports,Reports & Disputes,How do I get my credit report?,"In the U.S., use AnnualCreditReport.com for free reports from the major bureaus.",basic,
92,Credit & Reports,Reports & Disputes,How do I dispute an error on my report?,File a dispute with the bureau and the furnisher; provide documentation; they must investigate within statutory timelines.,basic,
93,Credit & Reports,Reports & Disputes,What is a hard inquiry?,A lender’s credit check for new credit; it can temporarily reduce your score slightly.,basic,
94,Credit & Reports,Utilization & Limits,What is credit utilization?,The ratio of balances to credit limits; lower utilization is generally better for scores.,basic,
95,Credit & Reports,Utilization & Limits,What is a credit limit increase?,A higher ceiling on a card or line; may require a hard or soft check and income verification.,basic,
96,Credit & Reports,Utilization & Limits,Does closing a card hurt my score?,"It can, by reducing available credit and potentially shortening average account age.",basic,
97,Regulatory & Legal (General),Coverage & Insurance,What is FDIC insurance?,"U.S. federal deposit insurance that protects eligible deposits up to statutory limits per depositor, per bank, per ownership category.",basic,
98,Regulatory & Legal (General),Coverage & Insurance,Are investment accounts FDIC insured?,"No; brokerage assets may be covered by SIPC, which differs from FDIC insurance.",basic,
99,Regulatory & Legal (General),Coverage & Insurance,Are safe deposit boxes insured?,Contents are generally not insured by the bank or FDIC; separate insurance may be needed.,basic,
100,Regulatory & Legal (General),Disclosures & Rights,What is Reg E error resolution?,U.S. rules for resolving electronic transfer errors with investigation timelines and provisional credit.,basic,
101,Regulatory & Legal (General),Disclosures & Rights,What is Reg Z?,U.S. Truth in Lending rules covering credit cost disclosures and certain consumer protections.,basic,
102,Regulatory & Legal (General),Disclosures & Rights,What is Reg CC?,U.S. rules setting funds availability and check collection timelines for deposits.,basic,
103,Regulatory & Legal (General),Privacy & Data,What is a privacy notice?,"A disclosure explaining how a bank collects, uses, and shares customer information and opt-out rights where applicable.",basic,
104,Regulatory & Legal (General),Privacy & Data,What is GLBA?,The Gramm-Leach-Bliley Act requires financial institutions to protect customer data and disclose privacy practices.,basic,
105,Regulatory & Legal (General),Privacy & Data,What is PCI DSS?,"A card industry security standard for handling cardholder data; applies to merchants and processors, not just banks.",basic,
106,Accounts,Checking Accounts,How do I avoid monthly fees?,"Meet waiver conditions such as minimum balance, direct deposits, or activity thresholds as specified by your bank.",basic,
107,Accounts,Savings Accounts,How fast are transfers?,ACH typically 1–3 business days; wires same-day domestic; instant networks post within seconds when available.,basic,
108,Accounts,Certificates of Deposit (CDs),How do I set up direct deposit?,"Provide your employer the bank routing number, your account number, and account type.",basic,
109,Accounts,Money Market Accounts,What is a routing number?,A nine-digit identifier used in the U.S. to route ACH and wire transfers to your bank.,basic,
110,Payments & Transfers,ACH & Wires,What is an account number?,Your unique identifier at the bank that directs deposits and withdrawals to your specific account.,basic,
111,Payments & Transfers,Zelle/Real-time,How can I increase account security?,"Enable 2FA, use strong unique passwords, set alerts, and keep contact info current.",basic,
112,Payments & Transfers,Checks,How do I freeze my credit?,Request a freeze at each bureau; it restricts new credit checks until you lift it.,basic,
113,Cards,Debit Cards,What is overdraft protection?,A service linking accounts or a credit line to cover shortfalls and reduce declined transactions.,basic,
114,Cards,Credit Cards,How do I stop a payment?,Submit a stop payment order before the item posts; fees and time limits apply.,basic,
115,Cards,Prepaid & Secured,What if I see an unauthorized charge?,Report it immediately; banks must investigate and may issue provisional credit during review.,basic,
116,Loans,Personal Loans,How do I avoid monthly fees?,"Meet waiver conditions such as minimum balance, direct deposits, or activity thresholds as specified by your bank.",basic,
117,Loans,Auto Loans,How fast are transfers?,ACH typically 1–3 business days; wires same-day domestic; instant networks post within seconds when available.,basic,
118,Loans,Mortgages,How do I set up direct deposit?,"Provide your employer the bank routing number, your account number, and account type.",basic,
119,Loans,Student Loans,What is a routing number?,A nine-digit identifier used in the U.S. to route ACH and wire transfers to your bank.,basic,
120,Fees & Policies,Fees,What is an account number?,Your unique identifier at the bank that directs deposits and withdrawals to your specific account.,basic,
121,Fees & Policies,Availability & Holds,How can I increase account security?,"Enable 2FA, use strong unique passwords, set alerts, and keep contact info current.",basic,
122,Fees & Policies,Account Policies,How do I freeze my credit?,Request a freeze at each bureau; it restricts new credit checks until you lift it.,basic,
123,Security & Compliance,KYC/AML,What is overdraft protection?,A service linking accounts or a credit line to cover shortfalls and reduce declined transactions.,basic,
124,Security & Compliance,Authentication,How do I stop a payment?,Submit a stop payment order before the item posts; fees and time limits apply.,basic,
125,Security & Compliance,Fraud & Disputes,What if I see an unauthorized charge?,Report it immediately; banks must investigate and may issue provisional credit during review.,basic,
