id,bank,product,metric,question,answer,value,unit,as_of,source
1,U.S. Bank,Checking,atm_daily_limit,What is the daily ATM withdrawal limit at U.S. Bank?,"U.S. Bank typically allows up to $1,000 per day at ATMs for standard consumer checking accounts (subject to account type and history).",1000,USD,2025-10-21,Institution policy ranges; verify on bank site
2,U.S. Bank,Checking,debit_purchase_limit,What is the daily debit card purchase limit at U.S. Bank?,"Daily debit card purchase limits at U.S. Bank are commonly up to $5,000 for standard accounts (higher for premium).",5000,USD,2025-10-21,Institution policy ranges; verify on bank site
3,U.S. Bank,Checking,min_open_checking,What is the minimum opening deposit for a checking account at U.S. Bank?,The minimum opening deposit for many U.S. Bank personal checking accounts is $25.,25,USD,2025-10-21,Institution policy ranges; verify on bank site
4,U.S. Bank,Checking,monthly_fee_checking,What is the monthly maintenance fee on a core checking account at U.S. Bank?,"The standard monthly maintenance fee for a core checking account at U.S. Bank is $12, if waiver criteria aren’t met.",12,USD,2025-10-21,Institution policy ranges; verify on bank site
5,U.S. Bank,Checking,fee_waiver_dd,What direct deposit amount per month waives the checking fee at U.S. Bank?,"Combined direct deposits totaling at least $1,500 per month generally waive the checking account fee at U.S. Bank.",1500,USD,2025-10-21,Institution policy ranges; verify on bank site
6,U.S. Bank,Checking,od_daily_cap,How many overdraft paid fees per day can be charged at U.S. Bank?,U.S. Bank caps overdraft paid fees at 3 per day on consumer checking accounts (if the bank assesses such fees).,3,count,2025-10-21,Institution policy ranges; verify on bank site
7,U.S. Bank,Checking,od_small_neg_waiver,At what small negative balance threshold does U.S. Bank not assess an overdraft fee?,U.S. Bank generally does not assess an overdraft paid fee if the end‑of‑day available balance is negative by $50 or less.,50,USD,2025-10-21,Institution policy ranges; verify on bank site
8,U.S. Bank,Checking,nonbank_atm_free,How many non‑network ATM transactions are fee‑waived per statement period at U.S. Bank?,U.S. Bank waives the first 4 non‑network ATM transaction fees per statement period on select checking accounts.,4,count,2025-10-21,Institution policy ranges; verify on bank site
9,U.S. Bank,Payments,wire_domestic_out,What is the outgoing domestic wire fee at U.S. Bank?,Outgoing domestic wire transfers at U.S. Bank typically cost about $30 per transfer for standard consumer accounts.,30,USD,2025-10-21,Institution policy ranges; verify on bank site
10,U.S. Bank,Payments,ach_outbound_limit,What is the typical daily outbound ACH transfer limit at U.S. Bank?,"U.S. Bank commonly sets daily outbound ACH limits near $25,000 for standard accounts; exact limits vary.",25000,USD,2025-10-21,Institution policy ranges; verify on bank site
